seq_num,board_time_us,event_type,sensor_id,delta_us,flags,sync_state,confidence,tier,loss_detected,seq_gap
1879,157000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1891,158000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1903,159000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1915,160000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1927,161000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1939,162000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1951,163000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1963,164000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1975,165000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1987,166000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1999,167000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2011,168000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2023,169000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2035,170000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2047,171000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2059,172000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2071,173000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2083,174000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2095,175000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2107,176000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2119,177000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2131,178000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2143,179000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2155,180000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2167,181000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2179,182000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2191,183000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2203,184000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2215,185000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2227,186000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2239,187000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2251,188000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2263,189000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2275,190000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2287,191000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2299,192000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2311,193000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2323,194000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
